"Geplande groep";"Geplande groep";"Geplande groep";"Geplande groep";"Geplande groep";"Geroosterde lessen";"Realisatie lessen";"Realisatie lessen";"Realisatie lessen";"Realisatie lessen";"Realisatie lessen";"Realisatie lessen";"Uitval lessen";"Uitval lessen";"Uitval lessen";"Uitval lessen";"Uitval lessen";"Uitval lessen";"Weken (2026)";"Weken (2026)";"Weken (2026)";"Weken (2026)"
"Afdeling";"Pakketgroep";"Vak";"Lesgroep";"Sectie";"Totaal aantal geroosterde lessen";"Gegeven door geplande docent";"Gegeven door vervanger";"Gegeven zonder docent";"Totaal aantal gegeven lessen";"Percentage gegeven door vervanger";"Percentage gegeven zonder docent";"Uitval door te weinig leerlingen";"Uitval door te weinig docenten";"Uitval door gewijzigde planning";"Uitval zonder reden";"Totaal aantal uitgevallen lessen";"Percentage totaal aantal uitgevallen lessen";"35";"36";"37";"38"
"3h";"ja";"ak";"";"ak";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"2h";"ja";"ak";"";"ak";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"4h";"ja";"ak";"";"ak";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"3v";"ja";"ak";"";"ak";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"6v";"ja";"ak";"";"ak";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"2v";"ja";"ak";"";"ak";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"2vp";"ja";"ak";"";"ak";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"1vp";"ja";"ak";"";"ak";"6";"1";"0";"0";"1";"0%";"0%";"0";"1";"4";"0";"5";"83,3%";"";"0";"0";"1"
"5h";"ja";"ak";"";"ak";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"4v";"ja";"ak";"";"ak";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"5v";"ja";"ak";"";"ak";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"1h";"ja";"ak";"";"ak";"6";"1";"0";"0";"1";"0%";"0%";"0";"1";"4";"0";"5";"83,3%";"";"0";"0";"1"
"1v";"ja";"ak";"";"ak";"6";"1";"0";"0";"1";"0%";"0%";"0";"1";"4";"0";"5";"83,3%";"";"0";"0";"1"
"1vh";"ja";"ak";"";"ak";"6";"1";"0";"0";"1";"0%";"0%";"0";"1";"4";"0";"5";"83,3%";"";"0";"0";"1"
"3vp";"ja";"ak";"";"ak";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"1h";"nee";"ak";"1h.1ha";"ak";"6";"3";"1";"0";"4";"25%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"1v";"nee";"ak";"1v.1vb";"ak";"6";"3";"1";"0";"4";"25%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"1v";"nee";"ak";"1v.1vc";"ak";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"1v";"nee";"ak";"1v.1vd";"ak";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"1vh";"nee";"ak";"1vh.1ba";"ak";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"1vh";"nee";"ak";"1vh.1bb";"ak";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"1vh";"nee";"ak";"1vh.1bc";"ak";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"1vp";"nee";"ak";"1vp.1va";"ak";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2h";"nee";"ak";"2h.2ha";"ak";"6";"3";"0";"0";"3";"0%";"0%";"0";"1";"2";"0";"3";"50%";"";"0";"2";"1"
"2h";"nee";"ak";"2h.2hb";"ak";"6";"5";"0";"0";"5";"0%";"0%";"0";"0";"1";"0";"1";"16,7%";"";"1";"2";"2"
"2h";"nee";"ak";"2h.2hc";"ak";"6";"3";"0";"0";"3";"0%";"0%";"0";"1";"2";"0";"3";"50%";"";"0";"2";"1"
"2h";"nee";"ak";"2h.2hd";"ak";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2v";"nee";"ak";"2v.2vb";"ak";"6";"4";"0";"0";"4";"0%";"0%";"0";"1";"1";"0";"2";"33,3%";"";"1";"2";"1"
"2v";"nee";"ak";"2v.2vc";"ak";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2v";"nee";"ak";"2v.2vd";"ak";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2v";"nee";"ak";"2v.2ve";"ak";"6";"4";"0";"0";"4";"0%";"0%";"0";"1";"1";"0";"2";"33,3%";"";"1";"2";"1"
"2vp";"nee";"ak";"2vp.2va";"ak";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"3h";"nee";"ak";"3h.3ha";"ak";"6";"3";"0";"0";"3";"0%";"0%";"0";"1";"2";"0";"3";"50%";"";"0";"2";"1"
"3h";"nee";"ak";"3h.3hb";"ak";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"3h";"nee";"ak";"3h.3hc";"ak";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"3v";"nee";"ak";"3v.3vc";"ak";"6";"3";"0";"0";"3";"0%";"0%";"0";"1";"2";"0";"3";"50%";"";"0";"2";"1"
"3v";"nee";"ak";"3v.3vd";"ak";"6";"5";"0";"0";"5";"0%";"0%";"0";"0";"1";"0";"1";"16,7%";"";"1";"2";"2"
"3v";"nee";"ak";"3v.3ve";"ak";"6";"4";"0";"0";"4";"0%";"0%";"0";"1";"1";"0";"2";"33,3%";"";"1";"2";"1"
